"X90585","X90576","X90560","X90581","X90559","X90567","X90578","X90564","X90571","X90587","X90252","X90265","X90439","X90292","X90416","X90280","X90283","X90441","X90289","X90281","X90422","X90420","X90423","X90412","X90410","X90406","X90430","X90449","X90450","X90421","X90444","X90426","X90245","X90229","X90267","X90248","X90225","X90259","X90227","X90239","X90258","X90266","X90218","X90223","X90237","X90232","X90222","X90251","X90254","X90217","zero_count","trans_row"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.78378775505798
0,10,40,30,0,0,30,10,0,0,50,0,0,0,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,80,0,60,0,0,20,0,110,20,0,0,0,0,0,36,2.79154437054329
0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.85034194801142
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.78378775505798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,40,0,0,10,0,0,0,0,0,42,2.40552654139126
20,30,50,0,0,0,0,40,0,0,0,10,20,0,30,10,10,0,50,0,10,20,0,0,0,0,0,0,10,20,60,10,0,0,0,0,20,20,0,60,20,0,20,0,0,0,0,0,0,0,29,2.75721165112752
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,48,1.90256069601956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2.04550096722379
0,50,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2.29731683775063
0,60,0,0,0,0,0,10,0,0,0,50,0,0,10,0,0,0,0,0,0,0,120,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0,42,2.54967709417164
0,0,0,0,0,0,50,0,0,0,190,150,0,10,20,30,0,20,5730,0,30,2840,60,70,0,10,0,0,40,20,0,110,0,70,0,0,0,10,0,50,0,0,0,40,0,0,0,40,0,0,29,3.98330973254696
0,1652,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,613,0,1229,0,0,0,0,0,614,0,0,0,0,0,1369,0,0,0,0,0,43,3.82150183582388
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2.00434003460434
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,49,1.90799141813144
190,0,0,0,0,0,0,0,0,0,160,744,0,0,0,0,0,0,124137,0,0,3530,0,70,0,0,0,60,0,40,0,0,0,580,0,0,0,70,0,10,0,0,0,0,0,0,0,50,0,0,38,5.11288677555812
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.95884493569012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
30,20,0,0,0,90,0,10,0,0,50,0,0,0,10,0,0,20,0,10,90,20,60,0,0,0,30,10,0,20,0,20,0,0,0,0,0,0,0,50,30,20,0,0,0,80,30,30,10,0,28,2.88699071669477
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,49,1.85034194801142
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.78378775505798
0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30,0,0,120,0,60,0,0,20,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.51122973017442
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.95884493569012
50,0,0,12,0,10,0,0,0,0,0,0,53,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,26,0,824,10,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,41,3.11264274690303
60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2.14658251171263
0,0,0,0,0,0,0,0,0,0,0,100,0,0,10,0,10,60,30,0,0,40,0,0,40,0,0,0,0,20,10,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,39,2.59283473659288
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3270,0,0,980,0,0,0,0,40,0,0,0,20,0,0,70,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,42,3.64988467056791
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,10,46,2.07214746175157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,60,0,20,10,0,20,0,10,0,0,0,40,0,30,20,0,20,0,0,10,0,0,50,0,10,60,0,60,0,0,0,0,0,0,0,0,0,50,100,0,0,0,30,0,0,0,10,0,0,32,2.80943138110231
0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,104,0,10,0,0,0,0,0,0,45,2.43685705350855
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,15,0,0,0,0,0,5,20,20,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,53,15,38,2.34898398116469
0,0,90,0,70,0,0,20,0,0,60,0,0,0,30,20,20,30,140,0,0,0,0,0,70,10,0,60,30,0,30,0,0,0,40,10,20,0,20,30,0,30,10,0,0,0,0,10,0,80,27,2.98226320901693
0,70,0,0,0,50,10,0,0,0,0,0,10,110,0,0,0,20,0,70,10,100,0,0,0,0,0,30,0,0,10,40,0,0,0,0,50,20,10,0,20,0,0,0,30,90,0,0,0,0,32,2.8948114581918
0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,10,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,90,0,10,70,0,0,0,0,20,0,0,0,0,41,2.53597221946318
0,0,0,30,0,0,0,10,0,0,50,0,0,0,0,30,0,60,0,10,0,70,0,0,40,0,0,0,30,0,0,0,0,0,0,0,10,20,10,0,20,0,0,0,40,0,40,80,80,0,33,2.82335902740582
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,45,2.06843983016122
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.78378775505798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,30,0,0,30,0,0,30,0,0,0,10,0,0,44,2.2461195637613
0,0,20,80,0,0,0,0,0,0,0,0,0,20,50,0,40,30,40,0,0,0,0,0,0,0,30,0,80,0,0,50,0,70,0,70,30,0,0,20,0,0,0,0,0,0,0,180,0,110,34,2.98090327143755
0,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2.3968910352686
0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0,0,180,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,45,2.56533454589368
0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1.90256069601956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.71360480362448
